"Adresse Email",Type
gmail_user1@gmail.com,Gmail
gmail_user2@gmail.com,Gmail
gmail_user3@gmail.com,Gmail
gmail_user4@gmail.com,Gmail
gmail_user5@gmail.com,Gmail
gmail_user6@gmail.com,Gmail
gmail_user7@gmail.com,Gmail
gmail_user8@gmail.com,Gmail
gmail_user9@gmail.com,Gmail
gmail_user10@gmail.com,Gmail
yahoo_user1@yahoo.com,Yahoo
yahoo_user2@yahoo.com,Yahoo
yahoo_user3@yahoo.com,Yahoo
yahoo_user4@yahoo.com,Yahoo
yahoo_user5@yahoo.com,Yahoo
yahoo_user6@yahoo.com,Yahoo
yahoo_user7@yahoo.com,Yahoo
yahoo_user8@yahoo.com,Yahoo
yahoo_user9@yahoo.com,Yahoo
yahoo_user10@yahoo.com,Yahoo
orange_user1@orange.fr,Orange
orange_user2@orange.fr,Orange
orange_user3@orange.fr,Orange
orange_user4@orange.fr,Orange
orange_user5@orange.fr,Orange
orange_user6@orange.fr,Orange
orange_user7@orange.fr,Orange
orange_user8@orange.fr,Orange
orange_user9@orange.fr,Orange
orange_user10@orange.fr,Orange
ixdrjmqv@hotmail.com,Aléatoire
aezjfpvv@test.org,Aléatoire
9bo8lrys@example.com,Aléatoire
7bvlzt3x@gmail.com,Aléatoire
59zzn4j0@orange.fr,Aléatoire
